accepted_hours,coverage_percent,expected_hours,full_local_day,local_date,maximum,mean,median,minimum,n,p25,p5,p75,p95,qualified_mean,sensor_id,stdev
17,100.0,17,False,2026-06-08,32.9,27.488235294117647,27.7,20.4,17,25.9,21.04,29.2,32.019999999999996,,openaq_11357424,3.4367285230545157
24,100.0,24,True,2026-06-09,37.6,22.40416666666667,22.549999999999997,7.7,24,19.049999999999997,11.74,27.425,29.285,22.40416666666667,openaq_11357424,6.6033903786429
24,100.0,24,True,2026-06-10,31.2,19.820833333333333,20.0,9.2,24,14.5,11.005,25.2,29.294999999999998,19.820833333333333,openaq_11357424,6.305896423994366
24,100.0,24,True,2026-06-11,35.5,21.1875,20.200000000000003,7.6,24,15.775,8.229999999999999,29.425,33.995,21.1875,openaq_11357424,8.815614235424897
24,100.0,24,True,2026-06-12,63.7,39.229166666666664,44.35,19.8,24,26.45,20.45,48.95,52.709999999999994,39.229166666666664,openaq_11357424,12.593838354241079
24,100.0,24,True,2026-06-13,54.8,31.78333333333333,30.15,12.1,24,25.525,12.41,40.525,48.32,31.78333333333333,openaq_11357424,12.103347243335358
24,100.0,24,True,2026-06-14,55.5,32.05,28.700000000000003,11.0,24,19.775,14.575,44.699999999999996,53.285,32.05,openaq_11357424,14.492156799305347
24,100.0,24,True,2026-06-15,28.7,19.804166666666667,18.3,13.2,24,14.575,13.915000000000001,25.4,27.225,19.804166666666667,openaq_11357424,5.379791426914379
24,100.0,24,True,2026-06-16,37.6,26.154166666666665,27.65,8.0,24,20.825,9.8,33.65,36.17999999999999,26.154166666666665,openaq_11357424,8.756462416865102
24,100.0,24,True,2026-06-17,43.9,27.5,27.6,7.6,24,22.325000000000003,14.375,32.525,40.504999999999995,27.5,openaq_11357424,8.327116521654863
24,100.0,24,True,2026-06-18,35.4,24.079166666666666,24.85,7.7,24,19.799999999999997,12.395,28.95,33.834999999999994,24.079166666666666,openaq_11357424,7.1431316458640834
24,100.0,24,True,2026-06-19,82.2,28.066666666666666,24.75,12.1,24,17.65,12.585,30.400000000000002,49.059999999999995,28.066666666666666,openaq_11357424,15.436311416427422
