accepted_hours,coverage_percent,expected_hours,local_hour,maximum,mean,median,minimum,n,p25,p5,p75,p95,sensor_id,stdev
90,100.0,90,0,42.6,18.968888888888888,15.95,5.7,90,13.225,7.970000000000001,23.55,38.755,openaq_11357424,9.113906455872367
90,100.0,90,1,41.8,18.444444444444443,16.4,5.2,90,12.875,7.0600000000000005,22.3,36.464999999999996,openaq_11357424,8.882960726071225
90,100.0,90,2,53.6,18.34888888888889,16.65,4.8,90,11.625,6.58,23.75,35.525,openaq_11357424,9.376341784961472
90,100.0,90,3,51.5,19.04111111111111,18.8,3.6,90,12.825000000000001,5.945,24.55,35.655,openaq_11357424,9.171375773733253
90,100.0,90,4,47.7,19.363333333333333,17.55,3.7,90,12.325000000000001,6.47,23.6,39.095,openaq_11357424,9.71631837151445
90,100.0,90,5,49.1,24.48777777777778,22.65,8.9,90,17.55,13.045,30.6,41.99499999999999,openaq_11357424,9.067386028413297
90,100.0,90,6,65.2,27.145555555555557,25.35,11.3,90,20.424999999999997,15.245,31.975,42.1,openaq_11357424,9.058426595414865
90,100.0,90,7,54.4,27.90222222222222,27.1,11.8,90,21.95,15.695,32.975,42.32,openaq_11357424,8.81829020826903
90,100.0,90,8,55.5,25.942222222222224,24.0,12.9,90,19.325,14.58,31.475,43.21999999999999,openaq_11357424,8.68502492383243
89,98.88888888888889,90,9,47.6,22.041573033707866,19.6,10.2,89,14.9,11.86,27.7,39.379999999999995,openaq_11357424,8.923752892100081
88,97.77777777777777,90,10,50.1,21.74659090909091,19.4,6.8,88,14.7,10.075000000000001,27.049999999999997,42.12499999999999,openaq_11357424,9.896498264521977
88,97.77777777777777,90,11,82.2,21.598863636363635,19.2,6.5,88,13.524999999999999,9.010000000000002,27.150000000000002,41.065,openaq_11357424,11.567021038509836
89,98.88888888888889,90,12,54.8,19.93820224719101,16.4,5.8,89,13.3,9.7,24.1,42.899999999999984,openaq_11357424,10.240189380550554
90,100.0,90,13,53.1,18.77777777777778,16.0,3.8,90,12.375,8.375,22.475,41.67999999999999,openaq_11357424,10.15339405009868
90,100.0,90,14,59.4,19.914444444444445,15.25,6.5,90,12.525,8.66,28.05,43.824999999999996,openaq_11357424,11.307058162697833
90,100.0,90,15,53.3,21.732222222222223,18.5,6.0,90,14.9,9.6,27.7,44.095,openaq_11357424,10.57866017915395
90,100.0,90,16,50.2,23.154444444444444,21.05,8.9,90,17.4,12.334999999999999,27.975,41.31,openaq_11357424,9.042746936622757
90,100.0,90,17,68.0,24.635555555555555,23.1,8.2,90,18.05,13.97,28.1,42.624999999999986,openaq_11357424,10.291791330425124
90,100.0,90,18,59.3,26.05,26.05,7.6,90,19.175,14.92,31.275,39.739999999999995,openaq_11357424,8.60155786778238
90,100.0,90,19,46.4,27.575555555555557,27.4,8.4,90,22.200000000000003,14.845,32.775,42.21,openaq_11357424,8.061356162026101
90,100.0,90,20,49.0,28.506666666666668,27.9,8.9,90,22.7,16.275000000000002,34.150000000000006,43.769999999999996,openaq_11357424,8.454847688645978
90,100.0,90,21,51.8,26.133333333333333,25.5,8.0,90,19.85,12.145,33.025,40.455,openaq_11357424,8.826479568493529
90,100.0,90,22,46.4,22.81111111111111,21.35,5.3,90,17.575,11.2,28.5,36.53,openaq_11357424,8.078316718150605
90,100.0,90,23,44.7,20.636666666666667,18.5,4.2,90,15.325000000000001,10.59,24.225,36.91,openaq_11357424,8.37264741399643
85,94.44444444444444,90,0,98.9,36.65176470588235,35.0,0.0,85,21.5,7.74,47.7,77.16,openaq_14581375,20.98329047102948
85,94.44444444444444,90,1,109.0,36.83294117647059,33.0,0.1,85,23.9,5.66,46.4,75.56,openaq_14581375,21.724943904992482
85,94.44444444444444,90,2,115.0,35.68,34.6,0.1,85,22.6,4.0200000000000005,45.4,84.35999999999996,openaq_14581375,22.66489208739661
85,94.44444444444444,90,3,98.0,34.46235294117647,32.7,0.1,85,21.5,5.140000000000001,43.6,70.03999999999999,openaq_14581375,19.94768142912251
85,94.44444444444444,90,4,118.0,35.29529411764706,32.1,0.0,85,20.2,6.480000000000001,45.3,74.67999999999999,openaq_14581375,21.459496210093945
85,94.44444444444444,90,5,98.1,35.16,33.2,0.3,85,21.3,4.859999999999999,45.8,71.89999999999999,openaq_14581375,19.976934318405934
85,94.44444444444444,90,6,88.8,35.05882352941176,32.9,0.2,85,21.9,5.359999999999999,46.3,70.5,openaq_14581375,19.137150943086784
86,95.55555555555556,90,7,95.4,34.4593023255814,33.25,1.7,86,22.599999999999998,7.35,44.400000000000006,69.25,openaq_14581375,18.230732797423514
85,94.44444444444444,90,8,93.4,32.514117647058825,30.4,0.4,85,20.0,6.48,43.7,54.379999999999995,openaq_14581375,16.545659428937107
85,94.44444444444444,90,9,95.1,30.46235294117647,30.9,2.1,85,19.2,6.12,40.1,52.8,openaq_14581375,16.298809308472492
84,93.33333333333333,90,10,84.8,29.520238095238096,29.45,2.9,84,17.849999999999998,5.63,38.75,51.964999999999996,openaq_14581375,15.753360932369931
83,92.22222222222223,90,11,63.7,29.202409638554215,28.6,0.2,83,17.95,3.6400000000000006,41.75,53.35999999999999,openaq_14581375,15.576584802928812
84,93.33333333333333,90,12,60.5,27.375,28.2,0.9,84,14.95,2.83,38.7,48.934999999999995,openaq_14581375,15.513700707392617
85,94.44444444444444,90,13,79.1,26.294117647058822,28.8,0.4,85,13.7,1.84,37.7,50.65999999999999,openaq_14581375,16.61499862388525
85,94.44444444444444,90,14,79.1,25.885882352941177,26.7,0.4,85,13.8,1.32,35.6,54.979999999999976,openaq_14581375,16.82319227493188
85,94.44444444444444,90,15,84.2,24.351764705882353,25.2,0.3,85,12.5,1.9400000000000002,35.5,47.18,openaq_14581375,15.676799750592213
85,94.44444444444444,90,16,81.4,24.594117647058823,25.4,0.7,85,13.6,3.2,34.3,43.25999999999999,openaq_14581375,14.323825913334685
85,94.44444444444444,90,17,79.1,25.49411764705882,25.4,0.4,85,13.8,3.7800000000000002,32.4,47.14,openaq_14581375,14.336768854120184
85,94.44444444444444,90,18,72.9,29.223529411764705,29.5,0.6,85,21.7,4.12,37.5,53.519999999999996,openaq_14581375,14.669994052152717
85,94.44444444444444,90,19,149.0,34.551764705882356,33.8,4.2,85,23.4,7.94,42.2,56.239999999999995,openaq_14581375,19.46501508668642
85,94.44444444444444,90,20,94.4,36.861176470588234,38.1,0.8,85,26.7,7.38,46.6,68.61999999999999,openaq_14581375,18.136112974877914
85,94.44444444444444,90,21,93.0,35.70470588235294,34.8,1.4,85,22.4,6.720000000000001,47.0,67.91999999999999,openaq_14581375,18.457621382909714
85,94.44444444444444,90,22,95.7,36.025882352941174,35.1,0.4,85,23.1,5.500000000000001,47.6,74.16,openaq_14581375,19.514031294608163
85,94.44444444444444,90,23,93.1,36.474117647058826,35.1,0.7,85,23.0,7.5200000000000005,47.1,71.39999999999999,openaq_14581375,18.756377664176856
