apparent_temperature_quality,apparent_temperature_snapshot_id,apparent_temperature_source_value,apparent_temperature_value,apparent_temperature_value_id,cloud_cover_quality,cloud_cover_snapshot_id,cloud_cover_source_value,cloud_cover_value,cloud_cover_value_id,local_date,local_hour,location_id,measurement_id,period_end,period_start,pm25,precipitation_quality,precipitation_snapshot_id,precipitation_source_value,precipitation_value,precipitation_value_id,quality,relative_humidity_2m_quality,relative_humidity_2m_snapshot_id,relative_humidity_2m_source_value,relative_humidity_2m_value,relative_humidity_2m_value_id,response_id,revision,sensor_id,shortwave_radiation_quality,shortwave_radiation_snapshot_id,shortwave_radiation_source_value,shortwave_radiation_value,shortwave_radiation_value_id,source_pm25,surface_pressure_quality,surface_pressure_snapshot_id,surface_pressure_source_value,surface_pressure_value,surface_pressure_value_id,temperature_2m_quality,temperature_2m_snapshot_id,temperature_2m_source_value,temperature_2m_value,temperature_2m_value_id,weekday,wind_direction_10m_quality,wind_direction_10m_snapshot_id,wind_direction_10m_source_value,wind_direction_10m_value,wind_direction_10m_value_id,wind_speed_10m_quality,wind_speed_10m_snapshot_id,wind_speed_10m_source_value,wind_speed_10m_value,wind_speed_10m_value_id
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,36.1,36.1,3409,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,97.0,97.0,4417,2026-06-08,7,cmt8,25,2026-06-08T01:00:00+00:00,2026-06-08T00:00:00+00:00,32.9,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,0.1,0.1,3746,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,86.0,86.0,3577,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,317.0,317.0,4586,32.9,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1009.6,1009.6,4249,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,29.3,29.3,3241,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,218.0,218.0,4081,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1.96,1.96,3913
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,36.0,36.0,3410,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,94.0,94.0,4418,2026-06-08,8,cmt8,26,2026-06-08T02:00:00+00:00,2026-06-08T01:00:00+00:00,31.2,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,0.1,0.1,3747,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,83.0,83.0,3578,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,471.0,471.0,4587,31.2,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1009.8,1009.8,4250,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,30.0,30.0,3242,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,229.0,229.0,4082,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,3.62,3.62,3914
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,36.4,36.4,3411,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,55.0,55.0,4419,2026-06-08,9,cmt8,27,2026-06-08T03:00:00+00:00,2026-06-08T02:00:00+00:00,27.4,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,0.1,0.1,3748,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,77.0,77.0,3579,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,598.0,598.0,4588,27.4,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1009.5,1009.5,4251,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,30.9,30.9,3243,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,232.0,232.0,4083,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,3.99,3.99,3915
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,37.0,37.0,3412,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,39.0,39.0,4420,2026-06-08,10,cmt8,28,2026-06-08T04:00:00+00:00,2026-06-08T03:00:00+00:00,28.7,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,0.1,0.1,3749,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,73.0,73.0,3580,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,734.0,734.0,4589,28.7,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1009.5,1009.5,4252,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,31.4,31.4,3244,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,238.0,238.0,4084,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,4.07,4.07,3916
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,38.6,38.6,3413,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,45.0,45.0,4421,2026-06-08,11,cmt8,29,2026-06-08T05:00:00+00:00,2026-06-08T04:00:00+00:00,27.3,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,0.1,0.1,3750,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,71.0,71.0,3581,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,787.0,787.0,4590,27.3,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1008.8,1008.8,4253,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,32.0,32.0,3245,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,245.0,245.0,4085,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,3.53,3.53,3917
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,40.0,40.0,3414,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,64.0,64.0,4422,2026-06-08,12,cmt8,30,2026-06-08T06:00:00+00:00,2026-06-08T05:00:00+00:00,27.7,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,0.2,0.2,3751,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,70.0,70.0,3582,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,768.0,768.0,4591,27.7,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1008.5,1008.5,4254,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,32.6,32.6,3246,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,249.0,249.0,4086,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,3.17,3.17,3918
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,40.1,40.1,3415,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,86.0,86.0,4423,2026-06-08,13,cmt8,31,2026-06-08T07:00:00+00:00,2026-06-08T06:00:00+00:00,25.3,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,3.4,3.4,3752,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,66.0,66.0,3583,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,614.0,614.0,4592,25.3,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1007.3,1007.3,4255,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,33.1,33.1,3247,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,253.0,253.0,4087,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,2.93,2.93,3919
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,37.4,37.4,3416,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,96.0,96.0,4424,2026-06-08,14,cmt8,32,2026-06-08T08:00:00+00:00,2026-06-08T07:00:00+00:00,29.2,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,2.7,2.7,3753,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,77.0,77.0,3584,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,359.0,359.0,4593,29.2,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1007.0,1007.0,4256,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,31.3,31.3,3248,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,236.0,236.0,4088,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,4.26,4.26,3920
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,37.4,37.4,3417,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,100.0,100.0,4425,2026-06-08,15,cmt8,33,2026-06-08T09:00:00+00:00,2026-06-08T08:00:00+00:00,29.2,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,0.1,0.1,3754,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,77.0,77.0,3585,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,243.0,243.0,4594,29.2,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1006.8,1006.8,4257,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,31.3,31.3,3249,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,219.0,219.0,4089,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,3.27,3.27,3921
accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,37.1,37.1,3418,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,93.0,93.0,4426,2026-06-08,16,cmt8,34,2026-06-08T10:00:00+00:00,2026-06-08T09:00:00+00:00,29.8,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,0.0,0.0,3755,accepted,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,78.0,78.0,3586,37826fe4-7b04-493d-8fcd-68c93696883a,2,openaq_11357424,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,127.0,127.0,4595,29.8,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,1006.3,1006.3,4258,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,31.2,31.2,3250,0,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,230.0,230.0,4090,accepted,ee236eeb-59a7-4e5e-8872-d83ed8e39b51,3.94,3.94,3922
