accepted_hours,coverage_percent,expected_hours,maximum,mean,median,minimum,n,p25,p5,p75,p95,sensor_id,stdev,weekday
302,99.01639344262296,305,68.0,21.10364238410596,19.55,5.1,302,14.5,9.025,27.25,37.089999999999996,openaq_11357424,9.117892670754955,0
310,99.35897435897436,312,59.4,22.16483870967742,20.8,4.8,310,15.1,8.645,28.575000000000003,37.330000000000005,openaq_11357424,9.460800875726495,1
312,100.0,312,65.2,24.740384615384617,23.8,3.8,312,17.7,10.955,30.8,42.639999999999986,openaq_11357424,9.973651969747753,2
311,99.67948717948718,312,53.7,21.84533762057878,20.9,5.2,311,15.45,9.850000000000001,28.15,36.1,openaq_11357424,8.475279182679136,3
312,100.0,312,82.2,22.939423076923077,19.700000000000003,5.7,312,15.05,10.155,28.325,44.545,openaq_11357424,11.141092370855237,4
312,100.0,312,54.8,23.890705128205127,22.75,3.6,312,16.5,10.355,30.625,40.70499999999999,openaq_11357424,9.678398236652617,5
295,100.0,295,57.2,22.18237288135593,19.2,5.9,295,14.45,10.07,26.9,44.650000000000006,openaq_11357424,10.826917253190095,6
295,96.72131147540983,305,149.0,30.89728813559322,31.5,0.2,295,20.85,3.97,39.8,54.83,openaq_14581375,17.87982158276926,0
312,100.0,312,95.7,33.520192307692305,31.5,0.2,312,22.75,6.855,41.324999999999996,72.515,openaq_14581375,18.07687787725705,1
296,94.87179487179488,312,115.0,34.74594594594595,33.349999999999994,0.6,296,22.7,6.074999999999999,44.5,68.35000000000001,openaq_14581375,19.256399784525534,2
287,91.98717948717949,312,118.0,38.60836236933798,34.5,1.2,287,25.05,10.98,49.0,77.92999999999998,openaq_14581375,20.31643035608578,3
288,92.3076923076923,312,83.9,27.936458333333334,27.55,0.0,288,17.450000000000003,1.8400000000000005,36.5,56.18499999999998,openaq_14581375,16.090063069272624,4
288,92.3076923076923,312,87.1,28.11284722222222,26.9,0.3,288,14.575,1.5400000000000005,41.5,56.68999999999998,openaq_14581375,17.82024672272546,5
271,91.86440677966101,295,98.1,30.000369003690036,30.2,0.0,271,17.35,2.7,40.9,56.65,openaq_14581375,17.62531323211019,6
