block_days,bootstrap_mean,bootstrap_sd,ci_high,ci_low,draws_per_replicate,eligible_blocks,estimate,exclude_extreme,exposure,family,fit_id,gate_pass,hypothesis,nonempty_blocks,p_value,replicates,scale,scope,skipped_replicates,usable_replicates
1,-0.208579934626,0.02305169584,-0.166087269416,-0.256867070417,91,86,-0.207758555768,False,wind_speed_10m,primary,H1_pooled_log1p_b1,True,H1,91,0.000999500249875,2000,log1p,pooled,0,2000
1,-0.183742877849,0.0251790316798,-0.134995367249,-0.235237187037,91,86,-0.186727682782,False,wind_speed_10m,primary,H1_cmt8_log1p_b1,True,H1,91,0.000999500249875,2000,log1p,cmt8,0,2000
1,-0.223869757241,0.0402387046409,-0.147369588566,-0.303895857975,91,82,-0.22644271788,False,wind_speed_10m,primary,H1_oceanpark_log1p_b1,True,H1,87,0.000999500249875,2000,log1p,oceanpark,0,2000
1,0.0945410211317,0.0493600415793,0.186298167368,-0.00576113493793,91,86,0.0986222781931,False,relative_humidity_2m,primary,H2_pooled_log1p_b1,True,H2,91,0.0679660169915,2000,log1p,pooled,0,2000
1,-0.0697555458359,0.0331869913547,-0.00596744939865,-0.13488347998,91,86,-0.075252705272,False,relative_humidity_2m,primary,H2_cmt8_log1p_b1,True,H2,91,0.0369815092454,2000,log1p,cmt8,0,2000
1,0.176496240143,0.0763399862584,0.322856663132,0.0250243457286,91,82,0.178470295685,False,relative_humidity_2m,primary,H2_oceanpark_log1p_b1,True,H2,87,0.0259870064968,2000,log1p,oceanpark,0,2000
1,0.180316288618,0.060357421811,0.296091871463,0.0596893954456,91,87,0.179237904693,False,,primary,H3_shared_log1p_b1,True,H3,87,0.00299850074963,2000,log1p,shared,0,2000
1,-0.0109110476312,0.0554473774291,0.0924473856633,-0.121071898142,91,86,-0.0119795640857,False,temperature_2m,secondary,S_temperature_2m_pooled_log1p_b1,True,S,91,0.868565717141,2000,log1p,pooled,0,2000
1,-0.0442870228303,0.0199152638564,-0.00489393354705,-0.0822728027774,91,86,-0.0463695265032,False,precipitation,secondary,S_precipitation_pooled_log1p_b1,True,S,91,0.0359820089955,2000,log1p,pooled,0,2000
1,0.113079435676,0.0724220004982,0.253788321096,-0.0326559999346,91,86,0.116601348897,False,surface_pressure,secondary,S_surface_pressure_pooled_log1p_b1,True,S,91,0.139930034983,2000,log1p,pooled,0,2000
1,-0.0884427080348,0.0202985456194,-0.0483079917918,-0.127017383037,91,86,-0.0900205188395,False,cloud_cover,secondary,S_cloud_cover_pooled_log1p_b1,True,S,91,0.00199900049975,2000,log1p,pooled,0,2000
1,0.0104611767523,0.0623836184352,0.130387993032,-0.108787201821,91,86,0.0161320647126,False,shortwave_radiation,secondary,S_shortwave_radiation_pooled_log1p_b1,True,S,91,0.87956021989,2000,log1p,pooled,0,2000
1,-4.51179474122,0.498397118201,-3.54720543214,-5.48839739575,91,86,-4.50707727068,False,wind_speed_10m,sensitivity,H1_pooled_raw_b1,True,H1,91,0.000999500249875,2000,raw,pooled,0,2000
1,1.52146163597,1.17157763801,3.80582057982,-0.821705878263,91,86,1.51053656597,False,relative_humidity_2m,sensitivity,H2_pooled_raw_b1,True,H2,91,0.178910544728,2000,raw,pooled,0,2000
1,8.99240646077,1.49030948787,11.9207377908,6.11667038938,91,87,8.9685995086,False,,sensitivity,H3_shared_raw_b1,True,H3,87,0.000999500249875,2000,raw,shared,0,2000
2,-0.205953649835,0.0254852384777,-0.158014288809,-0.258418809142,46,86,-0.207758555768,False,wind_speed_10m,sensitivity,H1_pooled_log1p_b2,True,H1,90,0.000999500249875,2000,log1p,pooled,0,2000
2,0.0942639631036,0.0592230251844,0.204825514482,-0.0265217488063,46,86,0.0986222781931,False,relative_humidity_2m,sensitivity,H2_pooled_log1p_b2,True,H2,90,0.116941529235,2000,log1p,pooled,0,2000
2,0.185298867148,0.0755697256921,0.329307712471,0.0314386666024,46,87,0.179237904693,False,,sensitivity,H3_shared_log1p_b2,True,H3,87,0.0209895052474,2000,log1p,shared,0,2000
7,-0.206384046926,0.0297606734627,-0.150879154647,-0.264302146977,13,85,-0.207758555768,False,wind_speed_10m,sensitivity,H1_pooled_log1p_b7,True,H1,85,0.000999500249875,2000,log1p,pooled,0,2000
7,0.0847600507949,0.0754141459924,0.220005257549,-0.0741841381529,13,85,0.0986222781931,False,relative_humidity_2m,sensitivity,H2_pooled_log1p_b7,True,H2,85,0.260869565217,2000,log1p,pooled,0,2000
7,0.189459613529,0.0774155843303,0.346063881518,0.0442950803131,13,85,0.179237904693,False,,sensitivity,H3_shared_log1p_b7,True,H3,85,0.00899550224888,2000,log1p,shared,0,2000
1,-0.207358519877,0.02250171081,-0.165962913842,-0.25516303298,91,86,-0.20708732678,True,wind_speed_10m,sensitivity,H1_pooled_log1p_b1_excl_extreme,True,H1,91,0.000999500249875,2000,log1p,pooled,0,2000
1,0.0977327910511,0.048568946658,0.189665684208,0.00157875383459,91,86,0.0996580556051,True,relative_humidity_2m,sensitivity,H2_pooled_log1p_b1_excl_extreme,True,H2,91,0.0489755122439,2000,log1p,pooled,0,2000
1,0.175864739954,0.0601222585532,0.296602990144,0.0532078448397,91,87,0.176395227716,True,,sensitivity,H3_shared_log1p_b1_excl_extreme,True,H3,87,0.00999500249875,2000,log1p,shared,0,2000
