block_days,bootstrap_mean,bootstrap_sd,candidate_windows,ci_high,ci_low,draws_per_replicate,eligible_independent_blocks,estimate,exclude_extreme,exposure,family,fit_id,full_draws,gate_pass,hypothesis,inference,nonempty_independent_blocks,p_value,remainder_draws,replicates,sampled_dates_per_replicate,scale,scope,skipped_replicates,usable_replicates,weather_case
1,-0.208579934626,0.02305169584,91,-0.166087269416,-0.256867070417,91,86,-0.207758555768,False,wind_speed_10m,primary,H1_pooled_log1p_b1_pairwise_complete,91,True,H1,inferential,91,0.000999500249875,0,2000,91,log1p,pooled,0,2000,pairwise_complete
1,-0.183742877849,0.0251790316798,91,-0.134995367249,-0.235237187037,91,86,-0.186727682782,False,wind_speed_10m,primary,H1_cmt8_log1p_b1_pairwise_complete,91,True,H1,exploratory,91,0.000999500249875,0,2000,91,log1p,cmt8,0,2000,pairwise_complete
1,-0.223869757241,0.0402387046409,91,-0.147369588566,-0.303895857975,91,82,-0.22644271788,False,wind_speed_10m,primary,H1_oceanpark_log1p_b1_pairwise_complete,91,True,H1,exploratory,87,0.000999500249875,0,2000,91,log1p,oceanpark,0,2000,pairwise_complete
1,0.0945410211317,0.0493600415793,91,0.186298167368,-0.00576113493793,91,86,0.0986222781931,False,relative_humidity_2m,primary,H2_pooled_log1p_b1_pairwise_complete,91,True,H2,inferential,91,0.0679660169915,0,2000,91,log1p,pooled,0,2000,pairwise_complete
1,-0.0697555458359,0.0331869913547,91,-0.00596744939865,-0.13488347998,91,86,-0.075252705272,False,relative_humidity_2m,primary,H2_cmt8_log1p_b1_pairwise_complete,91,True,H2,exploratory,91,0.0369815092454,0,2000,91,log1p,cmt8,0,2000,pairwise_complete
1,0.176496240143,0.0763399862584,91,0.322856663132,0.0250243457286,91,82,0.178470295685,False,relative_humidity_2m,primary,H2_oceanpark_log1p_b1_pairwise_complete,91,True,H2,exploratory,87,0.0259870064968,0,2000,91,log1p,oceanpark,0,2000,pairwise_complete
1,0.180316288618,0.060357421811,91,0.296091871463,0.0596893954456,91,87,0.179237904693,False,,primary,H3_shared_log1p_b1,91,True,H3,exploratory,87,0.00299850074963,0,2000,91,log1p,shared,0,2000,not_applicable
1,-0.0109110476312,0.0554473774291,91,0.0924473856633,-0.121071898142,91,86,-0.0119795640857,False,temperature_2m,secondary,S_temperature_2m_pooled_log1p_b1_pairwise_complete,91,True,S,inferential,91,0.868565717141,0,2000,91,log1p,pooled,0,2000,pairwise_complete
1,-0.0442870228303,0.0199152638564,91,-0.00489393354705,-0.0822728027774,91,86,-0.0463695265032,False,precipitation,secondary,S_precipitation_pooled_log1p_b1_pairwise_complete,91,True,S,inferential,91,0.0359820089955,0,2000,91,log1p,pooled,0,2000,pairwise_complete
1,0.113079435676,0.0724220004982,91,0.253788321096,-0.0326559999346,91,86,0.116601348897,False,surface_pressure,secondary,S_surface_pressure_pooled_log1p_b1_pairwise_complete,91,True,S,inferential,91,0.139930034983,0,2000,91,log1p,pooled,0,2000,pairwise_complete
1,-0.0884427080348,0.0202985456194,91,-0.0483079917918,-0.127017383037,91,86,-0.0900205188395,False,cloud_cover,secondary,S_cloud_cover_pooled_log1p_b1_pairwise_complete,91,True,S,inferential,91,0.00199900049975,0,2000,91,log1p,pooled,0,2000,pairwise_complete
1,0.0104611767523,0.0623836184352,91,0.130387993032,-0.108787201821,91,86,0.0161320647126,False,shortwave_radiation,secondary,S_shortwave_radiation_pooled_log1p_b1_pairwise_complete,91,True,S,inferential,91,0.87956021989,0,2000,91,log1p,pooled,0,2000,pairwise_complete
