horizon_hours,location_id,origin,sensor_id,target_available,target_end,target_missing_reason,target_observation_id,target_pm25,target_quality,target_recorded_at,target_retrieved_at,target_revision,target_source_published_at,target_start
6,cmt8,2026-06-08T00:00:00+00:00,openaq_11357424,True,2026-06-08T06:00:00+00:00,,30,27.7,accepted,2026-09-06T20:22:46.558262+00:00,2026-09-06T20:22:44.117890+00:00,2,,2026-06-08T05:00:00+00:00
24,cmt8,2026-06-08T00:00:00+00:00,openaq_11357424,True,2026-06-09T00:00:00+00:00,,48,29.3,accepted,2026-09-06T20:22:46.563178+00:00,2026-09-06T20:22:44.117890+00:00,2,,2026-06-08T23:00:00+00:00
6,oceanpark,2026-06-08T00:00:00+00:00,openaq_14581375,True,2026-06-08T06:00:00+00:00,,54,2.8,accepted,2026-09-06T20:22:58.508981+00:00,2026-09-06T20:22:56.741617+00:00,1,,2026-06-08T05:00:00+00:00
24,oceanpark,2026-06-08T00:00:00+00:00,openaq_14581375,True,2026-06-09T00:00:00+00:00,,72,17.1,accepted,2026-09-06T20:22:58.513985+00:00,2026-09-06T20:22:56.741617+00:00,1,,2026-06-08T23:00:00+00:00
6,cmt8,2026-06-08T01:00:00+00:00,openaq_11357424,True,2026-06-08T07:00:00+00:00,,31,25.3,accepted,2026-09-06T20:22:46.558955+00:00,2026-09-06T20:22:44.117890+00:00,2,,2026-06-08T06:00:00+00:00
24,cmt8,2026-06-08T01:00:00+00:00,openaq_11357424,True,2026-06-09T01:00:00+00:00,,215,23.5,accepted,2026-09-06T20:29:27.498923+00:00,2026-09-06T20:29:24.458157+00:00,1,,2026-06-09T00:00:00+00:00
6,oceanpark,2026-06-08T01:00:00+00:00,openaq_14581375,True,2026-06-08T07:00:00+00:00,,55,4.5,accepted,2026-09-06T20:22:58.509215+00:00,2026-09-06T20:22:56.741617+00:00,1,,2026-06-08T06:00:00+00:00
24,oceanpark,2026-06-08T01:00:00+00:00,openaq_14581375,True,2026-06-09T01:00:00+00:00,,2293,13.4,accepted,2026-09-06T20:31:37.561577+00:00,2026-09-06T20:31:35.407485+00:00,1,,2026-06-09T00:00:00+00:00
6,cmt8,2026-06-08T02:00:00+00:00,openaq_11357424,True,2026-06-08T08:00:00+00:00,,32,29.2,accepted,2026-09-06T20:22:46.559219+00:00,2026-09-06T20:22:44.117890+00:00,2,,2026-06-08T07:00:00+00:00
24,cmt8,2026-06-08T02:00:00+00:00,openaq_11357424,True,2026-06-09T02:00:00+00:00,,216,22.7,accepted,2026-09-06T20:29:27.504991+00:00,2026-09-06T20:29:24.458157+00:00,1,,2026-06-09T01:00:00+00:00
6,oceanpark,2026-06-08T02:00:00+00:00,openaq_14581375,True,2026-06-08T08:00:00+00:00,,56,2.8,accepted,2026-09-06T20:22:58.509428+00:00,2026-09-06T20:22:56.741617+00:00,1,,2026-06-08T07:00:00+00:00
24,oceanpark,2026-06-08T02:00:00+00:00,openaq_14581375,True,2026-06-09T02:00:00+00:00,,2294,16.7,accepted,2026-09-06T20:31:37.562702+00:00,2026-09-06T20:31:35.407485+00:00,1,,2026-06-09T01:00:00+00:00
