availability_assumption,availability_basis,feature_available_through,feature_version,horizon_hours,input_manifest_sha256,lineage_id,location_id,origin,origin_local_date,origin_local_hour,origin_local_weekday,pm25_lag_12h,pm25_lag_1h,pm25_lag_24h,pm25_lag_3h,pm25_lag_48h,pm25_lag_6h,pm25_lag_72h,pm25_last_age_hours,pm25_last_available,pm25_trailing_count_12h,pm25_trailing_count_24h,pm25_trailing_count_3h,pm25_trailing_count_6h,pm25_trailing_mean_12h,pm25_trailing_mean_24h,pm25_trailing_mean_3h,pm25_trailing_mean_6h,pm25_trailing_std_24h,pm_asof_rows,pm_available_through,pm_full_lag_coverage,pm_history_reason,purge_reason,purged,sensor_id,split,target_available,target_end,target_local_date,target_local_hour,target_local_weekday,target_missing_reason,target_observation_id,target_quality,target_revision,target_start,weather_forecast_apparent_temperature,weather_forecast_cloud_cover,weather_forecast_missing_count,weather_forecast_precipitation,weather_forecast_reason,weather_forecast_relative_humidity_2m,weather_forecast_run_provenance,weather_forecast_shortwave_radiation,weather_forecast_snapshot_id,weather_forecast_surface_pressure,weather_forecast_temperature_2m,weather_forecast_wind_direction_cos,weather_forecast_wind_direction_sin,weather_forecast_wind_speed_10m
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-06-08T00:00:00+00:00|6,cmt8,2026-06-08T00:00:00+00:00,2026-06-08,7,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-06-08T06:00:00+00:00,2026-06-08,13,0,ok,30,accepted,2,2026-06-08T05:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-06-08T00:00:00+00:00|24,cmt8,2026-06-08T00:00:00+00:00,2026-06-08,7,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-06-09T00:00:00+00:00,2026-06-09,7,1,ok,48,accepted,2,2026-06-08T23:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-06-08T00:00:00+00:00|6,oceanpark,2026-06-08T00:00:00+00:00,2026-06-08,7,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-06-08T06:00:00+00:00,2026-06-08,13,0,ok,54,accepted,1,2026-06-08T05:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-06-08T00:00:00+00:00|24,oceanpark,2026-06-08T00:00:00+00:00,2026-06-08,7,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-06-09T00:00:00+00:00,2026-06-09,7,1,ok,72,accepted,1,2026-06-08T23:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-06-08T01:00:00+00:00|6,cmt8,2026-06-08T01:00:00+00:00,2026-06-08,8,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-06-08T07:00:00+00:00,2026-06-08,14,0,ok,31,accepted,2,2026-06-08T06:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-06-08T01:00:00+00:00|24,cmt8,2026-06-08T01:00:00+00:00,2026-06-08,8,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-06-09T01:00:00+00:00,2026-06-09,8,1,ok,215,accepted,1,2026-06-09T00:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-06-08T01:00:00+00:00|6,oceanpark,2026-06-08T01:00:00+00:00,2026-06-08,8,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-06-08T07:00:00+00:00,2026-06-08,14,0,ok,55,accepted,1,2026-06-08T06:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-06-08T01:00:00+00:00|24,oceanpark,2026-06-08T01:00:00+00:00,2026-06-08,8,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-06-09T01:00:00+00:00,2026-06-09,8,1,ok,2293,accepted,1,2026-06-09T00:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-06-08T02:00:00+00:00|6,cmt8,2026-06-08T02:00:00+00:00,2026-06-08,9,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-06-08T08:00:00+00:00,2026-06-08,15,0,ok,32,accepted,2,2026-06-08T07:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-06-08T02:00:00+00:00|24,cmt8,2026-06-08T02:00:00+00:00,2026-06-08,9,0,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-06-09T02:00:00+00:00,2026-06-09,9,1,ok,216,accepted,1,2026-06-09T01:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
