baseline_id,baseline_role,candidate_rows,coverage_percent,eligible_rows,evaluation_type,horizon_hours,location_id,mae,mase,mase_denominator,mean_error,median_absolute_error,metric_reason,metric_scope,metric_status,missing_prediction_rows,missing_target_rows,predicted_rows,purged_rows_excluded,rmse,sensor_id,smape,split,target_available_rows
persistence_last_available,primary_reference,2554,0.0,0,in_sample_fit,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,2554,121,0,10,,pooled,,train,2433
persistence_last_available,primary_reference,844,0.0,0,chronological_holdout,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,844,6,0,10,,pooled,,validation,838
persistence_last_available,primary_reference,856,0.0,0,chronological_holdout,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,856,2,0,0,,pooled,,test,854
persistence_last_available,primary_reference,2518,0.0,0,in_sample_fit,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,2518,121,0,46,,pooled,,train,2397
persistence_last_available,primary_reference,808,0.0,0,chronological_holdout,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,808,6,0,46,,pooled,,validation,802
persistence_last_available,primary_reference,856,0.0,0,chronological_holdout,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,856,2,0,0,,pooled,,test,854
persistence_last_available,primary_reference,1277,0.0,0,in_sample_fit,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1277,2,0,5,,openaq_11357424,,train,1275
persistence_last_available,primary_reference,422,0.0,0,chronological_holdout,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,422,3,0,5,,openaq_11357424,,validation,419
persistence_last_available,primary_reference,428,0.0,0,chronological_holdout,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_11357424,,test,427
persistence_last_available,primary_reference,1259,0.0,0,in_sample_fit,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1259,2,0,23,,openaq_11357424,,train,1257
persistence_last_available,primary_reference,404,0.0,0,chronological_holdout,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,404,3,0,23,,openaq_11357424,,validation,401
persistence_last_available,primary_reference,428,0.0,0,chronological_holdout,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_11357424,,test,427
persistence_last_available,primary_reference,1277,0.0,0,in_sample_fit,6,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1277,119,0,5,,openaq_14581375,,train,1158
persistence_last_available,primary_reference,422,0.0,0,chronological_holdout,6,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,422,3,0,5,,openaq_14581375,,validation,419
persistence_last_available,primary_reference,428,0.0,0,chronological_holdout,6,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_14581375,,test,427
persistence_last_available,primary_reference,1259,0.0,0,in_sample_fit,24,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1259,119,0,23,,openaq_14581375,,train,1140
persistence_last_available,primary_reference,404,0.0,0,chronological_holdout,24,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,404,3,0,23,,openaq_14581375,,validation,401
persistence_last_available,primary_reference,428,0.0,0,chronological_holdout,24,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_14581375,,test,427
persistence_lag_1h,sensitivity,2554,0.0,0,in_sample_fit,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,2554,121,0,10,,pooled,,train,2433
persistence_lag_1h,sensitivity,844,0.0,0,chronological_holdout,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,844,6,0,10,,pooled,,validation,838
persistence_lag_1h,sensitivity,856,0.0,0,chronological_holdout,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,856,2,0,0,,pooled,,test,854
persistence_lag_1h,sensitivity,2518,0.0,0,in_sample_fit,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,2518,121,0,46,,pooled,,train,2397
persistence_lag_1h,sensitivity,808,0.0,0,chronological_holdout,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,808,6,0,46,,pooled,,validation,802
persistence_lag_1h,sensitivity,856,0.0,0,chronological_holdout,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,856,2,0,0,,pooled,,test,854
persistence_lag_1h,sensitivity,1277,0.0,0,in_sample_fit,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1277,2,0,5,,openaq_11357424,,train,1275
persistence_lag_1h,sensitivity,422,0.0,0,chronological_holdout,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,422,3,0,5,,openaq_11357424,,validation,419
persistence_lag_1h,sensitivity,428,0.0,0,chronological_holdout,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_11357424,,test,427
persistence_lag_1h,sensitivity,1259,0.0,0,in_sample_fit,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1259,2,0,23,,openaq_11357424,,train,1257
persistence_lag_1h,sensitivity,404,0.0,0,chronological_holdout,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,404,3,0,23,,openaq_11357424,,validation,401
persistence_lag_1h,sensitivity,428,0.0,0,chronological_holdout,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_11357424,,test,427
persistence_lag_1h,sensitivity,1277,0.0,0,in_sample_fit,6,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1277,119,0,5,,openaq_14581375,,train,1158
persistence_lag_1h,sensitivity,422,0.0,0,chronological_holdout,6,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,422,3,0,5,,openaq_14581375,,validation,419
persistence_lag_1h,sensitivity,428,0.0,0,chronological_holdout,6,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_14581375,,test,427
persistence_lag_1h,sensitivity,1259,0.0,0,in_sample_fit,24,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1259,119,0,23,,openaq_14581375,,train,1140
persistence_lag_1h,sensitivity,404,0.0,0,chronological_holdout,24,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,404,3,0,23,,openaq_14581375,,validation,401
persistence_lag_1h,sensitivity,428,0.0,0,chronological_holdout,24,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_14581375,,test,427
trailing_mean_24h,sensitivity,2554,0.0,0,in_sample_fit,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,2554,121,0,10,,pooled,,train,2433
trailing_mean_24h,sensitivity,844,0.0,0,chronological_holdout,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,844,6,0,10,,pooled,,validation,838
trailing_mean_24h,sensitivity,856,0.0,0,chronological_holdout,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,856,2,0,0,,pooled,,test,854
trailing_mean_24h,sensitivity,2518,0.0,0,in_sample_fit,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,2518,121,0,46,,pooled,,train,2397
trailing_mean_24h,sensitivity,808,0.0,0,chronological_holdout,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,808,6,0,46,,pooled,,validation,802
trailing_mean_24h,sensitivity,856,0.0,0,chronological_holdout,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,856,2,0,0,,pooled,,test,854
trailing_mean_24h,sensitivity,1277,0.0,0,in_sample_fit,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1277,2,0,5,,openaq_11357424,,train,1275
trailing_mean_24h,sensitivity,422,0.0,0,chronological_holdout,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,422,3,0,5,,openaq_11357424,,validation,419
trailing_mean_24h,sensitivity,428,0.0,0,chronological_holdout,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_11357424,,test,427
trailing_mean_24h,sensitivity,1259,0.0,0,in_sample_fit,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1259,2,0,23,,openaq_11357424,,train,1257
trailing_mean_24h,sensitivity,404,0.0,0,chronological_holdout,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,404,3,0,23,,openaq_11357424,,validation,401
trailing_mean_24h,sensitivity,428,0.0,0,chronological_holdout,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_11357424,,test,427
trailing_mean_24h,sensitivity,1277,0.0,0,in_sample_fit,6,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1277,119,0,5,,openaq_14581375,,train,1158
trailing_mean_24h,sensitivity,422,0.0,0,chronological_holdout,6,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,422,3,0,5,,openaq_14581375,,validation,419
trailing_mean_24h,sensitivity,428,0.0,0,chronological_holdout,6,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_14581375,,test,427
trailing_mean_24h,sensitivity,1259,0.0,0,in_sample_fit,24,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1259,119,0,23,,openaq_14581375,,train,1140
trailing_mean_24h,sensitivity,404,0.0,0,chronological_holdout,24,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,404,3,0,23,,openaq_14581375,,validation,401
trailing_mean_24h,sensitivity,428,0.0,0,chronological_holdout,24,oceanpark,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_14581375,,test,427
local_hour_climatology,diagnostic_calendar,2554,95.26233359436179,2433,in_sample_fit,6,pooled,10.560344939455106,1.9130048224353449,5.520291854785443,8.907338035628054e-17,7.679245283018865,,descriptive_only,available,0,121,2554,10,14.425196336264685,pooled,41.641021930263825,train,2433
local_hour_climatology,diagnostic_calendar,844,99.28909952606635,838,chronological_holdout,6,pooled,9.158484207482754,1.6590579716439136,5.520291854785443,-0.8548738385957907,7.141162880246439,,descriptive_only,available,0,6,844,10,12.464550394201192,pooled,33.659141733219435,validation,838
local_hour_climatology,diagnostic_calendar,856,99.76635514018692,854,chronological_holdout,6,pooled,11.220403486201388,2.0325743242134235,5.520291854785443,0.9736734923240319,8.219811320754719,,descriptive_only,available,0,2,856,0,15.445268002321688,pooled,42.50749214714854,test,854
local_hour_climatology,diagnostic_calendar,2518,95.19459888800635,2397,in_sample_fit,24,pooled,10.538656686461561,1.9029767233786585,5.537985072014228,-1.556257556420745e-17,7.613461538461539,,descriptive_only,available,0,121,2518,46,14.41524542190529,pooled,41.38736345936952,train,2397
local_hour_climatology,diagnostic_calendar,808,99.25742574257426,802,chronological_holdout,24,pooled,9.05090072345752,1.6343310077153395,5.537985072014228,-1.2262985459875526,7.21422351233672,,descriptive_only,available,0,6,808,46,12.251682993549421,pooled,32.64561910502737,validation,802
local_hour_climatology,diagnostic_calendar,856,99.76635514018692,854,chronological_holdout,24,pooled,11.504596168764374,2.0773974684225758,5.537985072014228,1.098750873525957,8.23173076923077,,descriptive_only,available,0,2,856,0,15.808161951760555,pooled,43.412189515762414,test,854
local_hour_climatology,diagnostic_calendar,1277,99.84338292873923,1275,in_sample_fit,6,cmt8,6.952553903913874,1.6105179000422822,4.316967792615868,2.4938656804129005e-16,5.715094339622642,,descriptive_only,available,0,2,1277,5,9.070076401032768,openaq_11357424,32.101031575679706,train,1275
local_hour_climatology,diagnostic_calendar,422,99.28909952606635,419,chronological_holdout,6,cmt8,7.202676612325597,1.668457342824217,4.316967792615868,-0.41229930643516416,6.246296296296297,,descriptive_only,available,0,3,422,5,9.119449995727681,openaq_11357424,32.73650155508042,validation,419
local_hour_climatology,diagnostic_calendar,428,99.76635514018692,427,chronological_holdout,6,cmt8,8.239724630801032,1.9086833691219567,4.316967792615868,-1.344287819156362,6.41698113207547,,descriptive_only,available,0,1,428,0,10.71797843371985,openaq_11357424,35.32580018539836,test,427
local_hour_climatology,diagnostic_calendar,1259,99.84114376489278,1257,in_sample_fit,24,cmt8,6.965194388925646,1.610382815000034,4.325179282868526,1.8512549400273095e-16,5.715094339622642,,descriptive_only,available,0,2,1259,23,9.103966111543576,openaq_11357424,32.17908858515326,train,1257
local_hour_climatology,diagnostic_calendar,404,99.25742574257426,401,chronological_holdout,24,cmt8,7.402159061707125,1.7114109213983606,4.325179282868526,-0.6083661492133235,6.459615384615386,,descriptive_only,available,0,3,404,23,9.307296419225699,openaq_11357424,33.56662163970352,validation,401
local_hour_climatology,diagnostic_calendar,428,99.76635514018692,427,chronological_holdout,24,cmt8,8.1587973270157,1.8863489334029775,4.325179282868526,-1.797365764455155,6.320754716981131,,descriptive_only,available,0,1,428,0,10.742152919743669,openaq_11357424,34.36860889118658,test,427
local_hour_climatology,diagnostic_calendar,1277,90.68128425998434,1158,in_sample_fit,6,oceanpark,14.532653722110606,2.161434249309728,6.723615916955017,-8.743725375286207e-17,12.209183673469386,,descriptive_only,available,0,119,1277,5,18.617697938363655,openaq_14581375,52.144897320673806,train,1158
local_hour_climatology,diagnostic_calendar,422,99.28909952606635,419,chronological_holdout,6,oceanpark,11.114291802639912,1.653023007250143,6.723615916955017,-1.297448370756417,8.287755102040816,,descriptive_only,available,0,3,422,5,15.08527974001757,openaq_14581375,34.581781911358455,validation,419
local_hour_climatology,diagnostic_calendar,428,99.76635514018692,427,chronological_holdout,6,oceanpark,14.201082341601746,2.112119805325393,6.723615916955017,3.291634803804426,11.145833333333336,,descriptive_only,available,0,1,428,0,19.032539127016147,openaq_14581375,49.689184108898715,test,427
local_hour_climatology,diagnostic_calendar,1259,90.54805401111993,1140,in_sample_fit,24,oceanpark,14.478869061902476,2.144766348074172,6.750790861159929,-2.3684757858670006e-16,11.97905585106383,,descriptive_only,available,0,119,1259,23,18.588621292702815,openaq_14581375,51.54069812330798,train,1140
local_hour_climatology,diagnostic_calendar,404,99.25742574257426,401,chronological_holdout,24,oceanpark,10.699642385207916,1.5849465055668293,6.750790861159929,-1.8442309427617816,7.818749999999998,,descriptive_only,available,0,3,404,23,14.614434840715692,openaq_14581375,31.724616570351227,validation,401
local_hour_climatology,diagnostic_calendar,428,99.76635514018692,427,chronological_holdout,24,oceanpark,14.850395010513049,2.1998007812615654,6.750790861159929,3.9948675115070693,11.97872340425532,,descriptive_only,available,0,1,428,0,19.60617553820792,openaq_14581375,52.45577014033824,test,427
weather_augmented_climatology,diagnostic_weather,2554,0.0,0,in_sample_fit,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,2554,121,0,10,,pooled,,train,2433
weather_augmented_climatology,diagnostic_weather,844,0.0,0,chronological_holdout,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,844,6,0,10,,pooled,,validation,838
weather_augmented_climatology,diagnostic_weather,856,0.0,0,chronological_holdout,6,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,856,2,0,0,,pooled,,test,854
weather_augmented_climatology,diagnostic_weather,2518,0.0,0,in_sample_fit,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,2518,121,0,46,,pooled,,train,2397
weather_augmented_climatology,diagnostic_weather,808,0.0,0,chronological_holdout,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,808,6,0,46,,pooled,,validation,802
weather_augmented_climatology,diagnostic_weather,856,0.0,0,chronological_holdout,24,pooled,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,856,2,0,0,,pooled,,test,854
weather_augmented_climatology,diagnostic_weather,1277,0.0,0,in_sample_fit,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1277,2,0,5,,openaq_11357424,,train,1275
weather_augmented_climatology,diagnostic_weather,422,0.0,0,chronological_holdout,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,422,3,0,5,,openaq_11357424,,validation,419
weather_augmented_climatology,diagnostic_weather,428,0.0,0,chronological_holdout,6,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,428,1,0,0,,openaq_11357424,,test,427
weather_augmented_climatology,diagnostic_weather,1259,0.0,0,in_sample_fit,24,cmt8,,,,,,no_eligible_target_prediction_pairs,descriptive_only,unavailable,1259,2,0,23,,openaq_11357424,,train,1257
